AreaKey,initial,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,final
13161,6,6,4,4,4,4,4,4,4,4
13163,5,5,5,5,5,5,5,5,5,5
13165,3,4,4,4,4,4,4,4,4,4
13167,3,3,5,5,5,5,5,5,5,5
13169,5,5,5,5,5,5,5,5,5,5
13171,5,5,5,5,5,1,1,1,1,1
13173,6,6,6,6,6,6,6,6,6,6
13175,3,3,3,4,4,4,4,4,4,4
13177,4,4,4,4,4,4,4,4,4,4
13179,6,6,6,6,6,6,6,6,6,6
13181,5,5,5,5,5,5,5,5,5,5
13183,6,6,6,6,6,6,6,6,6,6
13185,6,2,2,2,2,2,2,2,2,2
13187,1,1,1,1,1,1,1,1,1,1
13189,5,5,5,5,5,5,5,5,5,5
13191,6,6,6,6,6,6,6,6,6,6
13193,3,3,3,3,3,3,3,3,3,3
13195,1,1,1,1,1,1,1,1,1,1
13197,3,3,3,3,3,3,3,4,4,4
13199,1,1,1,1,1,1,1,1,1,1
13201,2,2,2,2,2,2,2,2,2,2
13205,2,2,2,2,2,2,2,2,2,2
13207,5,5,5,5,5,5,1,1,1,1
13209,4,4,4,4,4,4,4,4,4,4
13211,5,1,1,1,1,1,1,1,1,1
13213,1,1,1,1,1,1,1,1,1,1
13215,3,3,3,3,3,3,3,4,4,4
13217,1,1,1,1,1,1,1,1,1,1
13219,1,1,1,1,1,1,1,1,1,1
13221,1,1,1,1,1,1,1,1,1,1
13223,1,1,1,1,1,1,1,1,1,1
13225,3,3,3,3,3,3,3,3,3,3
13227,1,1,1,1,1,1,1,1,1,1
13229,6,6,6,6,6,6,6,6,6,6
13231,5,1,5,5,1,1,1,1,1,1
13233,1,1,1,1,1,1,1,1,1,1
13235,4,4,4,4,4,4,4,4,4,4
13237,5,5,5,5,5,5,5,5,5,5
13239,4,4,4,4,4,4,4,4,4,4
13241,1,1,1,1,1,1,1,1,1,1
13243,4,4,4,4,4,4,4,4,4,4
13245,5,5,5,5,5,5,5,5,5,5
13247,1,1,1,1,1,1,1,1,1,1
13249,3,3,3,3,3,3,3,3,4,4
13251,3,4,4,4,4,4,4,4,4,4
13253,2,2,2,2,2,2,2,2,2,2
13255,1,1,1,1,1,1,1,1,1,1
13257,1,1,1,1,1,1,1,1,1,1
13259,4,4,4,4,4,4,4,4,4,4
13261,4,4,4,4,4,4,4,4,4,4
13263,3,3,3,3,3,3,3,3,1,1
13265,5,5,5,5,5,5,5,5,5,5
13267,4,6,6,6,6,6,6,6,6,6
13269,3,3,3,3,3,3,3,3,3,3
13271,2,4,4,4,4,4,4,4,4,4
13273,4,4,4,4,4,4,4,4,4,4
13275,2,2,2,2,2,2,2,2,2,2
13277,2,2,2,2,2,2,2,2,2,2
13279,4,4,4,4,4,4,4,4,4,4
13281,1,1,1,1,1,1,1,1,1,1
13283,3,3,4,4,4,4,4,4,4,4
13285,1,1,1,1,1,1,1,1,1,1
13287,2,2,2,2,2,2,2,2,2,2
13289,5,3,3,3,3,3,3,3,3,3
13291,1,1,1,1,1,1,1,1,1,1
13293,5,5,5,3,3,3,1,1,1,1
13295,1,1,1,1,1,1,1,1,1,1
13297,1,1,1,1,1,1,1,1,1,1
13299,6,6,6,6,6,6,6,6,6,6
13301,5,5,5,5,5,5,5,5,5,5
13303,5,5,5,5,5,5,5,5,5,5
13305,6,6,6,6,6,6,6,6,6,6
13307,4,4,4,4,4,4,4,4,4,4
13309,4,4,4,4,4,4,4,4,4,4
13311,1,1,1,1,1,1,1,1,1,1
13313,1,1,1,1,1,1,1,1,1,1
13315,2,4,4,4,4,4,4,4,4,4
13317,5,5,5,5,5,5,5,5,5,5
13319,5,5,5,5,5,5,5,5,5,5
13321,2,2,2,2,2,2,2,2,2,2
