AreaKey,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15
13083,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13085,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13087,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13089,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13091,2,3,2,2,4,2,2,2,3,3,7,7,7,8
13093,2,3,2,2,4,2,2,2,3,3,7,7,7,8
13095,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13097,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13099,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13101,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13103,2,3,2,2,4,7,8,8,9,10,11,12,12,13
13105,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13107,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13109,2,3,2,2,4,7,8,8,9,10,11,12,12,13
13111,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13113,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13115,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13117,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13119,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13121,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13123,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13125,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13127,2,3,4,5,6,6,7,9,10,11,12,13,13,14
13129,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13131,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13133,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13135,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13137,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13139,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13141,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13143,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13145,1,2,3,3,3,4,5,5,2,2,3,3,3,4
13147,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13149,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13151,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13153,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13155,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13157,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13159,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13161,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13163,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13165,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13167,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13169,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13171,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13173,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13175,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13177,2,3,2,2,4,2,2,2,3,3,7,7,7,8
13179,2,3,4,5,6,6,7,9,10,11,12,13,14,15
13181,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13183,2,3,4,5,6,6,7,9,10,11,12,13,14,15
13185,2,3,4,5,6,6,7,7,8,9,10,11,11,12
13187,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13189,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13191,2,3,4,5,6,6,7,9,10,11,12,13,14,15
13193,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13195,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13197,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13199,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13201,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13205,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13207,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13209,2,3,2,2,4,7,8,8,9,10,11,12,12,13
13211,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13213,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13215,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13217,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13219,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13221,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13223,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13225,1,2,3,3,3,4,5,5,2,2,3,3,3,4
13227,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13229,2,3,4,5,6,6,7,9,10,11,12,13,13,14
13231,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13233,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13235,2,3,2,2,4,2,2,2,3,3,7,7,7,8
13237,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13239,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13241,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13243,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13245,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13247,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13249,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13251,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13253,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13255,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13257,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13259,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13261,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13263,1,2,3,3,3,4,5,5,2,2,3,3,3,4
13265,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13267,2,3,2,2,4,7,8,8,9,10,11,12,12,13
13269,1,2,3,3,3,4,5,5,2,2,3,3,3,4
13271,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13273,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13275,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13277,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13279,2,3,2,2,4,7,8,8,9,10,11,12,12,13
13281,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13283,1,2,3,3,3,4,5,5,6,7,8,8,8,9
13285,1,1,1,1,1,1,3,3,4,4,4,4,4,2
13287,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13289,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13291,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13293,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13295,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13297,1,1,1,1,1,1,3,3,4,6,6,6,6,7
13299,2,3,4,5,6,6,7,9,10,11,12,13,13,14
13301,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13303,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13305,2,3,4,5,6,6,7,9,10,11,12,13,13,14
13307,2,3,2,2,4,2,2,2,3,3,2,2,2,3
13309,2,3,2,2,4,2,2,2,3,3,7,7,7,8
13311,1,1,1,1,1,1,3,3,4,4,4,4,4,6
13313,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13315,2,3,2,2,2,3,4,4,5,5,5,5,5,5
13317,1,1,1,4,5,5,6,6,7,8,9,9,9,10
13319,1,1,1,4,5,5,6,6,7,8,9,10,10,11
13321,2,3,2,2,2,3,4,4,5,5,5,5,5,5
