i,j,AreaKey_i,AreaKey_j
51,156,13105,13317
52,80,13107,13163
52,81,13107,13165
52,82,13107,13167
52,86,13107,13175
52,102,13107,13209
52,131,13107,13267
52,137,13107,13279
52,139,13107,13283
53,88,13109,13179
53,131,13109,13267
54,60,13111,13123
54,92,13111,13187
54,104,13111,13213
54,143,13111,13291
55,59,13113,13121
55,125,13113,13255
56,63,13115,13129
56,114,13115,13233
56,145,13115,13295
57,59,13117,13121
57,66,13117,13135
57,68,13117,13139
58,72,13119,13147
58,96,13119,13195
58,126,13119,13257
59,66,13121,13135
60,63,13123,13129
60,104,13123,13213
60,111,13123,13227
61,69,13125,13141
61,80,13125,13163
61,148,13125,13301
61,149,13125,13303
62,94,13127,13191
62,150,13127,13305
63,104,13129,13213
63,111,13129,13227
63,145,13129,13295
63,154,13129,13313
64,100,13131,13205
64,135,13131,13275
65,69,13133,13141
65,103,13133,13211
65,107,13133,13219
65,108,13133,13221
65,116,13133,13237
65,130,13133,13265
66,68,13135,13139
66,77,13135,13157
66,121,13135,13247
66,146,13135,13297
67,68,13137,13139
67,118,13137,13241
67,126,13137,13257
67,138,13137,13281
67,153,13137,13311
68,77,13139,13157
68,92,13139,13187
68,153,13139,13311
69,116,13141,13237
69,130,13141,13265
69,148,13141,13301
69,149,13141,13303
70,109,13143,13223
70,114,13143,13233
71,98,13145,13199
71,105,13145,13215
71,129,13145,13263
71,140,13145,13285
72,96,13147,13195
73,140,13149,13285
74,106,13151,13217
74,121,13151,13247
74,125,13151,13255
75,95,13153,13193
75,110,13153,13225
75,115,13153,13235
75,142,13153,13289
76,136,13155,13277
76,141,13155,13287
77,96,13157,13195
77,107,13157,13219
78,83,13159,13169
78,101,13159,13207
78,103,13159,13211
78,106,13159,13217
78,116,13159,13237
79,102,13161,13209
79,133,13161,13271
79,137,13161,13279
79,152,13161,13309
80,82,13163,13167
80,93,13163,13189
80,120,13163,13245
80,148,13163,13301
80,149,13163,13303
81,123,13165,13251
82,86,13167,13175
82,139,13167,13283
82,149,13167,13303
82,157,13167,13319
83,101,13169,13207
83,116,13169,13237
83,142,13169,13289
83,157,13169,13319
84,101,13171,13207
84,113,13171,13231
84,125,13171,13255
84,144,13171,13293
85,91,13173,13185
86,139,13175,13283
86,142,13175,13289
86,152,13175,13309
86,157,13175,13319
87,128,13177,13261
87,134,13177,13273
87,158,13177,13321
88,90,13179,13183
88,94,13179,13191
88,131,13179,13267
89,93,13181,13189
89,156,13181,13317
90,94,13183,13191
90,131,13183,13267
90,150,13183,13305
92,143,13187,13291
92,153,13187,13311
93,120,13189,13245
93,148,13189,13301
93,156,13189,13317
94,150,13191,13305
95,110,13193,13225
95,122,13193,13249
95,128,13193,13261
95,132,13193,13269
96,108,13195,13221
97,122,13197,13249
97,127,13197,13259
97,128,13197,13261
97,129,13197,13263
97,132,13197,13269
97,151,13197,13307
98,113,13199,13231
98,125,13199,13255
98,129,13199,13263
98,140,13199,13285
98,144,13199,13293
99,124,13201,13253
100,135,13205,13275
100,158,13205,13321
101,144,13207,13293
102,137,13209,13279
102,139,13209,13283
102,152,13209,13309
103,106,13211,13217
103,107,13211,13219
103,116,13211,13237
103,146,13211,13297
104,154,13213,13313
105,129,13215,13263
106,121,13217,13247
106,146,13217,13297
107,108,13219,13221
107,146,13219,13297
108,130,13221,13265
108,156,13221,13317
109,114,13223,13233
110,132,13225,13269
112,147,13229,13299
112,150,13229,13305
113,125,13231,13255
113,144,13231,13293
115,155,13235,13315
117,119,13239,13243
117,127,13239,13259
118,138,13241,13281
119,127,13243,13259
119,134,13243,13273
119,151,13243,13307
121,146,13247,13297
122,128,13249,13261
122,132,13249,13269
127,151,13259,13307
128,134,13261,13273
128,151,13261,13307
129,132,13263,13269
129,144,13263,13293
130,148,13265,13301
130,156,13265,13317
131,137,13267,13279
131,150,13267,13305
132,144,13269,13293
133,152,13271,13309
133,155,13271,13315
134,151,13273,13307
136,141,13277,13287
136,158,13277,13321
137,139,13279,13283
138,143,13281,13291
138,153,13281,13311
139,152,13283,13309
141,155,13287,13315
141,158,13287,13321
142,157,13289,13319
143,153,13291,13311
145,154,13295,13313
148,156,13301,13317
149,157,13303,13319
